Gene	H911	DIVID1	DIVID2	DIVID3	DIVID4	DIVID5	H1204	H1778	H1499	H1530
NCKIPSD	4.51143	4.96155	7.44583	10.7385	9.40605	2.3211	3.67726	4.62187	4.25238	5.96486
IP6K2	6.02058	13.0268	20.3958	1.95884	10.0383	7.96647	8.20908	6.85613	7.13841	10.2128
PRKAR2A	13.0255	16.299	9.08631	11.322	13.743	10.1949	15.373	20.5269	22.1478	17.0198
SLC25A20	3.32343	10.0993	12.2745	14.4125	16.4621	13.4014	7.08343	4.02024	3.10159	0.442025
ARIH2	6.68839	12.5194	8.22897	6.25858	12.9867	14.0888	11.7258	6.05651	19.2055	9.84743
P4HTM	11.8869	13.0908	34.3685	4.69915	10.2835	20.496	17.0434	37.674	21.5284	18.3824
WDR6	17.1874	25.0004	48.9213	18.9488	15.9185	21.4579	18.6888	34.1547	10.809	37.0928
DALRD3	5.07051	5.29017	4.84338	3.08795	11.2086	8.96558	10.0168	2.31016	2.78289	4.98682
MIR425	1.64545	10.0297	0	0	0	8.61728	0	1.28361	0	0
NDUFAF3	8.16378	2.99705	10.0982	1.54875	1.55971	4.72779	9.29101	9.99228	3.73187	11.0869
IMPDH2	78.1443	33.2371	54.0702	57.0423	18.8007	42.8342	80.9624	65.0547	54.3587	63.3176
QRICH1	13.1019	11.9974	22.1733	7.57067	2.08292	4.59885	13.6282	17.3866	20.2782	16.9236
QARS	20.1143	23.019	22.2379	17.6536	29.694	28.288	39.5045	12.8476	19.9614	17.1697
USP19	6.07962	8.98705	17.3095	10.4719	7.89347	6.82645	6.53108	10.3958	6.64894	10.6166
LAMB2	6.48092	14.5687	25.4919	16.2229	1.55971	4.44335	13.5551	14.267	6.33237	11.1956
CCDC71	5.37182	2.96692	3.72781	13.136	15.0131	3.70494	3.91312	7.2189	6.55888	11.0927
KLHDC8B	5.57085	5.11015	3.1594	1.53343	3.86562	5.61558	4.09426	7.71487	6.88568	5.75301
USP4	8.53582	8.14139	6.97976	6.5764	10.0194	6.16217	11.881	5.37201	7.08197	13.0775
GPX1	7.45157	2.92662	5.35368	15.676	1.46296	7.79032	6.8708	10.2091	3.75755	6.94508
RHOA	260.748	142.224	160.3	202.603	150.126	132.426	238.179	173.255	157.278	207.081
TCTA	7.55114	10.108	25.2914	8.19028	14.4572	16.9616	13.4234	15.7853	7.89509	13.1781
AMT	1.10937	6.97492	12.8465	15.8035	13.529	9.60034	4.62593	1.23622	2.26165	0.129196
DAG1	21.4153	14.7297	26.7525	29.4544	10.7865	15.4601	17.162	24.9583	23.0598	21.5253
APEH	13.1975	21.8405	24.4633	24.7998	18.4611	27.9624	15.9548	27.6985	8.92209	18.454
RNF123	5.16474	4.55652	12.7552	2.75459	1.26796	3.01396	5.47035	5.36113	3.497	5.83765
GMPPB	10.5301	4.67403	7.542	2.25977	9.38666	20.3032	8.95757	15.0781	4.09713	14.2961
IP6K1	8.6906	10.7782	17.5905	3.89338	5.80999	8.21741	11.2907	15.9897	20.0433	15.8658
UBA7	3.90258	4.95093	6.56013	1.68112	1.83225	3.3906	4.47172	1.44142	1.24949	0.487751
RBM6	9.18168	11.066	13.5935	9.03985	9.12884	6.41637	10.8007	5.44837	7.6532	13.9998
RBM5	8.56324	24.0262	13.6911	7.79713	13.7108	13.6972	14.5996	12.0887	8.76365	12.6176
SEMA3F	1.5046	1.52529	1.48076	3.65671	1.04305	1.48656	1.60493	2.88967	2.82754	0.315732
SLC38A3	1.31666	11.0828	26.406	17.8399	1.03213	3.58894	10.4425	0.938618	3.22689	0.129196
GNAI2	77.2312	29.0464	69.6399	13.1626	15.5588	25.5646	52.936	83.1521	38.0439	83.0406
IFRD2	9.34668	4.22674	5.37067	10.0045	10.731	14.4047	6.36297	2.54784	6.719	0.262021
HYAL3	1.1985	1.26682	5.81218	0	1.01005	1.9121	0.227163	0.990221	1.65827	0.0849209
HYAL1	1.4462	2.5352	2.51574	9.10516	3.44152	2.47719	1.97294	1.13573	1.78559	0.321538
HYAL2	8.41236	9.3127	8.16522	2.42081	13.872	8.61728	14.2749	21.5238	6.39558	14.9873
TUSC2	6.74729	6.04781	7.65412	2.5969	1.58556	5.69059	5.30179	11.6295	8.77001	12.522
RASSF1	2.36444	5.52246	3.49126	3.74407	7.10299	5.46508	4.99732	2.28155	6.59223	0.19452
NPRL2	4.55542	6.2361	9.07048	3.59008	10.6754	18.5196	6.30667	3.906	3.42599	0.493558
CYB561D2	6.91329	3.65943	4.60489	1.95884	10.396	8.46757	3.36595	6.3081	4.62371	10.0101
TMEM115	9.75898	10.0993	21.612	23.2382	1.53363	8.81649	12.1679	25.4099	15.9675	17.4149
CACNA2D2	5.85713	7.34478	20.2648	3.38362	2.78682	3.20586	17.8559	9.31576	6.94229	9.74271
HEMK1	1.34893	2.02468	1.56125	8.67837	1.21905	2.60116	1.78599	1.05221	1.37316	0.170567
CISH	6.91814	5.25843	2.20321	12.7757	1.03213	2.67329	6.73269	1.45546	3.43045	0.292505
MAPKAPK3	12.0648	12.0385	25.7588	11.7204	17.3915	20.8538	16.3217	6.56022	13.0966	12.9263
MANF	44.2409	18.1247	65.6433	2.98218	44.2407	43.4648	34.8187	69.35	19.867	48.0086
RBM15B	11.6773	6.56972	11.0318	9.48797	1.454	6.21147	8.78973	13.1031	11.2315	13.0607
VPRBP	6.3414	9.45787	6.15136	8.37969	1.93813	4.16878	6.94644	3.74246	7.22462	6.22544
RAD54L2	5.53533	3.99684	4.17626	7.06875	1.23875	3.45081	4.4562	2.38697	6.76235	0.324441
TEX264	12.3508	12.8825	32.2874	37.9234	18.5355	30.9536	16.6167	22.3583	9.87283	13.8081
RRP9	5.55564	3.13652	4.41735	0	1.0539	4.54711	3.20313	2.538	3.98532	0.405733
PCBP4	5.11771	2.90641	5.64244	4.0182	1.07539	2.94812	3.51799	1.75918	3.04977	0.346216
ABHD14B	10.3213	11.8081	27.6218	14.7113	11.6254	14.3805	15.1376	9.8919	8.46377	9.62035
ABHD14A	6.01565	11.0575	21.4171	29.9531	11.9124	20.5235	13.9051	5.70644	8.22261	10.0391
ABHD14A-ACY1	5.49462	3.64045	5.16668	24.8646	1.12797	9.33723	6.64947	2.93079	3.91424	4.66498
ACY1	5.31518	2.20236	2.99023	9.20287	1.08603	7.10685	6.2361	1.75918	2.61526	0.543639
RPL29	23.0881	32.6735	78.9258	61.6487	48.9608	79.7124	56.5772	23.7688	24.6288	33.5109
ALAS1	13.916	11.8905	24.9727	7.27459	10.4334	5.74052	12.3787	22.8435	13.6788	22.274
TWF2	11.7535	4.23587	2.4345	3.72237	5.67012	8.84136	7.9249	13.7185	4.23209	13.5209
PPM1M	2.40115	4.04309	3.49126	7.67273	8.64339	5.26337	4.40048	2.03368	2.09562	0.24315
WDR82	13.4014	13.4014	13.4014	13.4014	13.4014	13.4014	13.4014	13.4014	13.4014	13.4014
BAP1	9.77791	7.03065	6.68943	28.64	2.78682	6.80089	8.09042	6.19109	8.29674	8.0201
SEMA3G	1.2629	3.88525	2.08523	1.89751	1.22892	1.38842	5.34592	1.33184	1.27509	0.0762111
NISCH	6.36639	13.9729	36.8138	4.59197	8.51346	7.86586	34.3601	11.8787	6.91898	12.7917
NT5DC2	27.9055	6.56972	7.73412	2.95501	6.73765	5.23807	8.84145	41.2456	12.7068	22.9193
C3orf78	8.97535	4.36311	5.52358	2.81391	9.5414	16.5431	10.053	10.9689	10.2721	15.7597
PBRM1	8.71788	11.2425	11.6011	6.01233	9.09655	5.28865	8.66008	9.47799	7.79395	10.1607
GNL3	10.8213	27.3245	19.6085	2.62968	14.1856	19.3643	15.2233	11.4694	19.0549	9.77181
SNORD19B	2382.28	7796.89	464.093	1111.75	8229.76	4319.22	3180.95	3010.36	1632.28	242.176
SNORD69	56870.5	312081	76888.4	143267	1.05763e+06	317697	157268	178415	82894.5	89053.3
GLT8D1	9.29323	12.3733	9.83159	13.5469	9.75273	17.1006	9.099	11.9918	8.34179	5.92242
SPCS1	55.4816	84.7945	111.724	95.285	27.1756	146.975	55.1586	55.0163	58.8501	41.7669
NEK4	6.15314	6.62247	3.98967	16.7028	12.8474	6.74976	8.28795	2.56757	7.06203	0.535656
ITIH4	4.70801	1.30765	11.7168	7.92114	1.08603	1.5409	7.38917	0.885935	2.34108	0.18581
TMEM110-MUSTN1	4.19944	4.62064	2.75557	6.8511	5.30243	8.06695	2.99207	3.52091	2.52085	2.24068
TMEM110	3.26468	4.642	3.90286	3.9353	3.62705	8.4176	2.85243	2.24832	3.10159	0.518962
SFMBT1	4.50592	9.2393	5.38766	8.49062	4.89808	6.95406	7.42969	3.91169	7.73509	0.52622
RFT1	4.2511	3.28405	2.85002	6.45101	1.42694	5.11128	3.97371	1.51785	2.84726	1.6911
PRKCD	5.94649	5.80659	7.59006	4.22071	1.06468	3.45081	6.05967	4.64823	2.93501	6.31665
TKT	110.441	26.1106	72.2061	61.5822	29.6578	37.6084	75.6358	134.439	98.9213	153.118
DCP1A	6.38635	7.43273	10.5871	3.28808	11.0624	6.31342	6.59383	4.5115	10.0636	5.33702
CACNA1D	2.29134	4.18103	4.34677	7.25175	1.41786	3.10022	4.81651	3.33629	4.933	0.441299
CHDH	2.62368	10.3244	19.1251	32.3327	1.93813	5.51532	8.43859	1.87027	3.47045	0.34041
IL17RB	2.87857	4.5779	3.32636	27.2758	0	3.74316	6.91208	1.2496	5.70551	0.23444
ACTR8	5.14386	6.15247	3.23555	3.70058	1.52489	5.28865	6.20093	5.30676	7.22462	4.95037
SELK	25.6079	33.0922	37.0687	51.9632	47.6642	70.9155	37.2343	28.9409	22.9729	18.3636
WNT5A	14.1238	2.32207	2.05121	6.30366	4.89808	2.52738	2.3738	11.9029	3.30906	11.5376
CCDC66	2.99335	4.21761	5.16668	7.65007	4.54698	10.2718	4.77858	1.26668	2.76291	0.29686
C3orf63	7.98287	20.8413	8.24489	7.21747	13.9584	15.6736	11.0007	6.62123	7.81679	7.58455
ARHGEF3	8.52674	28.1579	21.5038	18.1988	17.0898	15.0069	8.97689	11.3099	9.20536	13.2508
APPL1	11.2269	26.9637	25.6922	45.8631	18.6947	24.3493	27.1431	6.49984	13.8834	9.62618
PDE12	6.51565	8.50321	8.1174	7.81971	11.5713	8.94075	7.32152	8.51953	12.9011	10.8292
ARF4	103.213	61.2141	74.7348	43.1404	95.2352	89.6508	59.1888	58.815	32.2097	50.2378
FAM116A	5.41287	6.41379	5.62546	4.86781	11.9481	4.39982	5.25757	2.82325	7.77761	0.665158
SLMAP	8.37108	13.431	9.24446	8.15675	15.2532	7.41143	9.57509	4.79646	3.96447	5.08588
FLNB	27.427	30.4348	53.6082	37.5902	6.43721	13.0955	33.0687	34.2627	24.7305	40.6978
ABHD6	2.33698	2.76378	2.49954	14.1516	10.4894	3.18491	2.64451	2.79784	3.82989	1.29105
RPP14	3.29403	5.68044	6.34964	9.10516	8.253	4.98398	3.17579	1.68043	6.65561	0.498638
PXK	6.61454	5.85908	4.8604	14.1385	9.2256	4.00505	7.02872	6.56022	8.4734	6.03387
PDHB	22.285	25.0096	26.2901	9.81887	16.4946	28.1105	33.0342	24.3604	15.8238	28.5278
ACOX2	1.20472	1.92269	2.69215	14.3865	8.90264	3.64721	0.0605766	0.896294	0.294913	0.012339
FAM107A	1.21091	2.77403	5.5915	2.3022	1.1383	2.47719	7.81184	1.27798	4.32512	0.122664
C3orf14	13.8901	14.378	5.76127	2.98218	1.53363	15.8863	16.6728	18.2606	19.0025	15.7912
CADPS	7.47057	22.6841	32.2874	10.9339	21.1713	12.5071	13.6792	25.6113	11.6949	22.8109
THOC7	29.4462	34.8706	45.6744	2.92751	51.0531	63.8844	58.0475	23.6388	29.6425	17.2618
ATXN7	4.59923	9.47565	11.63	7.14887	2.87046	5.49021	5.9887	1.53325	6.25599	0.269279
PSMD6	41.3893	120.536	165.32	149.817	79.8441	157.652	117.668	28.719	103.517	41.013
PRICKLE2	5.02313	2.16938	1.19995	1.54875	4.76549	2.88123	2.44217	2.41113	2.36339	0.351297
ADAMTS9	7.5748	4.96155	1.72017	7.54796	1.09661	2.52738	3.64201	1.33368	6.97225	0.547269
MAGI1	5.67694	8.88108	7.68612	15.356	10.1894	5.71556	5.75278	2.52326	3.07809	0.501541
SLC25A26	4.77277	3.48756	6.43065	1.83143	9.84824	5.23807	6.10214	1.341	4.34925	0.236617
LRIG1	8.97535	42.7093	65.9721	35.9052	13.4864	34.3613	28.8909	9.6615	19.3192	6.31665
KBTBD8	1.21401	2.59812	6.10051	1.50249	7.79512	5.06042	1.17512	0.864659	2.55784	0.222827
SUCLG2	6.58492	8.46966	8.65834	16.2736	7.20228	13.5249	7.56433	2.87942	3.749	0.481219
C3orf64	4.70259	3.51636	3.37153	3.03562	1.07539	3.4906	4.71008	1.44669	8.00569	0.197423
TMF1	6.83045	11.1249	5.76127	8.37969	7.46637	6.08809	7.04925	3.37942	9.29615	0.538559
UBA3	12.8854	19.0746	11.4861	2.38257	16.0056	24.0235	15.87	6.13493	8.23873	14.0283
ARL6IP5	33.0127	44.2795	26.8019	30.8339	55.6397	47.8465	35.6125	25.6207	22.8643	17.7428
FRMD4B	4.95439	8.23852	4.45146	2.34308	1.48079	3.0573	4.64126	1.53496	3.2223	0.408637
FOXP1	15.3581	19.4835	30.0589	18.47	4.80957	6.46778	16.8897	10.6932	17.1566	14.1746
EIF4E3	5.69706	10.9985	7.90995	7.81971	24.0084	17.928	8.51693	3.37942	7.75799	0.516784
GPR27	1.21091	1.59414	2.49954	0	11.9838	2.37413	4.26502	2.92564	3.20388	0.206133
RYBP	7.59371	11.2676	6.94754	9.26784	11.0074	8.59234	6.51713	2.14019	10.3446	0.50009
SHQ1	6.0255	4.08921	2.35258	8.19028	1.09661	4.7792	3.76502	2.49874	3.36777	0.517509
GXYLT2	4.33405	2.40799	3.65429	8.78833	9.81007	2.90365	1.02556	1.26668	1.67384	0.185084
PPP4R2	12.319	17.5705	24.3994	7.21747	16.6465	25.8605	16.5536	12.7982	18.9871	5.76887
PDZRN3	1.84472	4.4495	5.55754	2.07007	1.14858	2.74393	5.47035	5.38836	5.55403	1.7428
ZNF717	1.9326	2.30044	2.25329	12.9629	1.01005	2.79025	4.231	1.2761	3.26354	0.228634
ROBO2	2.77416	3.69732	3.75712	1.59414	1.29679	2.3211	1.83838	2.86406	3.68027	4.6805
ROBO1	4.77816	2.08069	4.72416	5.1353	4.63402	2.34774	4.3498	5.80598	6.87235	5.6949
GBE1	8.14065	6.2152	4.8604	2.07007	13.2636	9.74555	8.60159	4.78584	7.38997	10.898
CHMP2B	12.2109	19.3892	8.0217	14.0992	11.7692	23.5341	17.0922	7.20192	23.1951	9.56783
CGGBP1	12.7389	24.2184	19.1471	19.6739	25.439	24.0778	10.888	14.9996	9.92039	12.6626
ZNF654	2.45642	5.49084	1.84388	1.51801	3.76929	5.49021	4.0599	1.29484	4.01444	0.259118
C3orf38	6.8158	11.1921	8.10145	5.1758	13.2636	9.67266	11.076	3.18681	7.10189	1.23198
ARL13B	3.27445	3.93185	1.34816	8.7993	5.76325	4.54711	4.41735	1.59842	3.19003	0.209036
DHFRL1	1.61975	2.78428	2.75557	16.7909	1.59414	2.00658	2.01389	1.1599	2.87179	0.312829
NSUN3	5.18559	5.22669	8.1174	0	11.0257	4.02341	5.80305	2.50854	6.25599	4.42764
MINA	1.80977	3.71623	3.71313	8.7224	1.38123	4.39982	5.15394	1.11941	3.6932	0.174923
CLDND1	10.5744	13.0508	26.5712	5.07424	6.70435	22.1427	13.5624	21.9593	7.82661	13.0719
CPOX	4.63742	5.30075	1.73797	10.6685	1.06468	4.20473	1.62648	1.87476	3.58044	0.487025
ST3GAL6	4.49489	4.99343	3.61001	2.52912	1.37199	4.24052	5.11678	2.95142	2.39658	0.410089
DCBLD2	9.56958	7.58153	7.34956	6.88547	3.72158	6.2361	5.22063	11.5575	5.04721	13.8938
COL8A1	2.80255	1.44042	1.39783	0	1.03213	1.47278	1.35183	5.14979	1.36125	0.317909
C3orf26	11.4171	6.15247	4.3043	3.1646	6.80423	9.67266	16.209	5.05826	7.30737	5.67906
FILIP1L	13.2484	8.46966	10.4501	1.51801	1.04305	1.445	6.28552	1.08832	4.03932	0.203956
TBC1D23	9.51284	18.9488	8.89627	24.2833	4.06192	22.4161	7.12439	4.40547	9.1583	1.71151
NIT2	15.926	8.74178	4.48556	0	15.4606	18.6101	3.94777	9.10819	4.01859	13.5497
TOMM70A	11.3219	22.4292	27.2291	15.8163	26.3168	20.6062	17.4402	12.9381	19.3665	16.5602
LNP1	1.54018	2.38659	1.28272	7.7067	1.03213	3.22671	1.43754	1.20334	2.40208	0.162584
TMEM45A	8.64973	12.8744	6.49541	2.07007	7.7295	41.1624	6.00291	1.83006	2.45657	5.25841
TFG	27.3241	13.3379	21.3304	10.906	9.82917	19.1705	14.4699	15.1439	19.0471	17.0814
SENP7	2.96457	10.7101	4.21904	13.0428	15.6787	7.38611	7.72512	1.71968	2.42398	0.19452
RG9MTD1	9.86	9.86377	6.38205	28.124	19.6562	8.86621	12.8719	4.5745	7.8853	12.4657
PCNP	19.0292	28.9402	24.7818	18.1988	28.5088	26.7782	36.8862	12.577	19.4079	13.422
ZBTB11	6.67856	19.7513	22.84	12.2238	14.675	16.0746	7.81184	5.16059	7.12845	7.45534
RPL24	37.3309	27.6838	48.1986	20.2022	84.2472	60.4659	63.5293	29.212	38.9002	36.688
CEP97	3.62051	4.5672	2.61234	2.5969	12.268	4.59885	5.37527	1.75039	3.2544	0.203956
NFKBIZ	10.2771	28.8871	30.8698	9.76154	2.58256	8.66713	25.7197	1.53155	7.84945	6.85344
ZPLD1	8.49474	1.3328	1.17677	1.53343	1.02113	1.55431	0.151441	0.743461	0.176948	0.0471783
ALCAM	19.6129	26.411	31.9267	10.3167	17.0142	15.6972	30.6317	22.9014	20.4732	18.2279
CBLB	8.5541	9.53776	8.78529	6.26983	1.90258	6.13749	4.9147	5.6458	8.15152	5.83236
BBX	8.19612	15.9088	16.2489	10.6826	10.0762	7.43675	9.28463	8.8403	8.51502	10.1723
CD47	21.8368	12.1531	7.01197	9.6754	15.3624	14.04	14.6212	4.6166	12.9454	9.96358
IFT57	8.54496	9.79361	7.98978	3.47671	27.6278	21.595	8.43206	8.73169	11.8738	9.53281
DZIP3	7.96424	13.9117	19.5206	6.74799	28.4732	9.16399	14.6428	11.7982	6.58222	9.81254
GUCA1C	0.977336	26.3746	32.9745	33.5422	15.3405	50.061	7.02872	0.599999	0.961922	0.00653238
PVRL3	9.52548	12.9226	8.03765	3.13927	20.2254	27.5478	15.4371	21.9376	20.8274	23.1565
PHLDB2	12.9427	17.9247	6.8347	4.03875	12.8126	6.74976	8.47778	6.63659	8.49903	11.7194
ABHD10	7.45632	12.414	20.4611	2.62968	18.6841	19.2813	16.4552	12.1536	9.69917	13.2117
TAGLN3	3.33325	5.07834	7.33351	2.3022	13.3842	7.48737	12.7913	5.73958	8.12239	9.5795
C3orf52	7.54642	9.1303	1.70231	13.1626	6.2361	15.5314	7.0424	1.26479	6.60224	4.63912
CD200	9.82205	13.1228	31.3758	2.98218	23.844	17.008	15.0804	19.3076	10.531	14.8153
ATG3	28.4156	55.6335	65.6276	54.4382	36.4725	63.851	54.1952	29.0946	30.8117	28.6615
SLC35A5	8.18227	12.6328	8.65834	6.88547	22.202	17.6304	17.2247	9.89967	3.42153	11.1956
CCDC80	5.45891	13.0908	7.1407	7.33166	1.0539	3.89396	6.44017	2.09368	2.85708	0.232263
GTPBP8	4.47279	3.17606	3.88834	0	8.12245	3.91259	2.03427	1.28736	2.93501	0.10597
C3orf17	5.1334	7.67218	4.51966	14.1516	8.90264	5.96432	6.76037	1.64576	7.64664	0.262747
BOC	1.59146	3.34254	6.54395	1.68112	2.74541	2.21161	5.29443	1.22275	1.53091	0.129196
WDR52	1.18601	1.47847	1.86137	1.48686	8.38334	2.26696	1.23115	0.711995	2.03349	0.0391943
SPICE1	2.04793	3.60239	2.05121	9.5169	1.48079	3.5498	3.64201	1.45195	2.40208	0.198149
NAA50	19.7499	27.4324	24.6545	11.3081	18.7795	33.1166	14.4844	17.6204	22.7317	17.8265
ATP6V1A	21.1731	26.147	27.9479	16.0707	36.3687	34.9838	18.8531	30.7573	24.854	33.5549
GRAMD1C	1.39801	13.3538	6.93143	1.53343	18.4398	18.6328	5.12421	1.08622	1.68924	0.0820177
QTRTD1	4.77816	4.13519	3.14412	7.74063	5.90384	2.52738	5.27969	1.39706	3.91424	0.301941
ZBTB20	9.87893	10.4105	21.612	3.85115	16.4946	11.16	7.7585	5.68989	7.90811	9.24563
GAP43	1.5429	1.1171	1.63039	0	1.06468	0	4.21396	2.38214	2.68207	2.0805
LSAMP	3.2549	3.66891	5.21769	1.83143	6.80423	3.20586	3.99962	3.08145	4.16279	0.36291
IGSF11	1.36057	1.47374	2.41817	10.1752	10.0383	2.21161	3.37494	1.03266	2.70242	0.143712
UPK1B	6.65396	3.37169	2.94368	1.53343	1.06468	2.60116	2.01389	0.64442	2.41851	0.0667754
B4GALT4	7.25117	11.7089	26.4224	3.28808	10.989	10.3494	11.9981	5.48117	10.4741	9.41591
ARHGAP31	5.47423	4.04309	2.58024	1.7597	1.04305	1.84638	3.24856	2.09832	3.73616	0.527671
TMEM39A	7.77729	13.431	7.67012	12.1425	15.8749	19.1151	10.4915	5.00995	7.91463	7.74386
POGLUT1	5.08101	5.00404	5.98181	9.68973	2.54251	8.3676	7.87175	3.11293	2.90593	4.836
C3orf1	20.2677	15.9088	19.1031	2.92751	51.7135	30.5685	15.4299	23.2992	8.61724	17.5486
ADPRH	4.12734	2.12517	1.37667	1.50249	6.80423	3.87529	6.32076	1.23046	2.92533	0.214116
PLA1A	1.17029	1.55762	2.21993	7.69537	11.8409	4.25836	2.92711	0.788315	1.18332	0.00145164
COX17	20.0119	3.8385	28.6939	7.57067	24.5046	24.6205	9.23351	41.9372	7.27097	33.7665
GSK3B	6.91329	6.07922	3.62479	4.9716	6.8375	4.31167	5.32387	2.24359	7.11517	0.489928
LRRC58	6.98612	10.1254	4.45146	8.88698	12.4093	15.8627	7.51055	3.55385	9.84904	2.40339
FSTL1	59.3721	12.5114	23.3971	8.22378	13.3154	19.4473	28.8418	41.8207	15.4132	32.6953
MIR198	46.4491	3.7916	0	0	2.08292	62.1551	17.3151	31.8111	19.8016	15.2063
NDUFB4	18.2172	11.0575	14.4021	3.33618	15.6678	15.7682	14.4772	21.3129	19.5251	23.1665
HGD	3.36274	3.01708	5.37067	14.4125	1.54235	12.896	5.25019	3.69777	4.01028	12.5614
RABL3	5.31002	6.16293	3.61001	4.33934	9.09655	8.89106	5.8818	2.34367	3.22689	0.343313
GTF2E1	5.14386	3.47795	4.3043	1.54875	7.56515	5.11128	3.79126	2.58734	7.39987	0.341136
HCLS1	5.5099	5.06773	8.27674	8.4352	1.04305	2.83601	5.34592	3.30406	2.41305	5.37375
GOLGB1	8.64973	31.9436	23.3543	21.5186	5.25701	3.74316	16.0256	9.29251	13.0966	5.79003
IQCB1	3.17693	5.53301	3.90286	3.78717	4.89808	3.81896	6.60775	1.22468	3.86795	0.281618
EAF2	1.21709	3.30358	2.7239	0	1.04305	8.51749	3.10262	1.03046	1.98251	0.264924
ILDR1	3.09936	3.2449	5.23469	14.5036	1.04305	3.43081	1.5425	1.14383	2.81766	0.449282
CASR	7.32771	4.69537	19.4329	11.4597	10.8418	3.53013	5.31651	19.6219	19.4768	15.5035
CCDC58	5.97122	1.68992	2.4345	0	1.06468	5.79037	0.769909	1.5247	3.40813	0.505171
FAM162A	25.5077	62.9398	99.5868	42.7986	68.9836	182.298	47.3065	29.6397	23.4201	31.7223
WDR5B	2.09262	2.74323	1.52129	8.04475	1.11757	2.83601	3.25762	1.4326	3.32266	0.284522
KPNA1	8.32514	6.81014	6.46303	7.74063	8.93498	7.00503	5.40458	5.41017	7.88204	12.5783
PARP9	6.87434	5.83809	7.39771	11.2253	14.7948	7.38611	12.2073	2.68692	4.7667	3.80041
DTX3L	18.9603	12.9868	14.4021	6.24733	6.40375	7.36077	14.8583	10.0928	8.45097	16.9929
PARP14	9.43711	12.7457	7.25321	12.6014	11.9838	5.98911	8.19591	4.0145	3.58044	6.17217
HSPBAP1	3.4713	4.72737	4.70712	0	12.9693	3.3906	4.95982	1.25721	3.93101	0.129921
DIRC2	9.43711	9.81993	7.95785	3.82991	10.1517	14.5257	9.74125	3.48809	16.4344	2.68461
PDIA5	8.3573	5.01466	10.2328	19.3508	1.17909	9.04004	5.23541	4.37585	6.47885	6.96825
SEC22A	3.77105	4.36311	2.136	1.5791	10.0194	6.41637	3.92179	1.83006	4.98978	0.246053
PTPLB	12.1918	11.4848	29.0811	5.61129	10.3398	26.0382	12.5509	6.07329	8.27741	13.5251
MYLK	3.53083	5.5857	2.77137	6.74799	1.08603	2.85869	8.08382	1.88823	2.74786	0.383233
CCDC14	3.81141	3.59286	2.61234	1.50249	7.95897	2.67329	3.46452	1.26289	2.23856	0.352749
UMPS	4.93848	4.19018	5.26869	6.41691	11.5894	5.81527	4.21396	1.82115	3.39918	0.532753
ITGB5	33.9215	13.1307	23.7177	19.0692	14.0124	16.2624	13.7449	34.172	24.4253	30.588
MUC13	103.66	2.19138	5.08163	3.56765	1.34406	4.13268	6.53807	31.886	39.6684	37.3916
HEG1	7.62675	15.1569	30.6637	11.3495	2.01	4.65049	5.3826	4.35219	3.81717	2.3527
SLC12A8	2.1735	3.64994	2.94368	7.89862	9.71443	5.74052	5.82456	1.56045	2.13815	0.258392
ZNF148	7.49904	17.3004	19.2351	8.85412	16.2557	17.5616	8.16958	6.79253	8.28387	9.38666
SNX4	12.4526	15.839	9.77871	4.46139	18.578	28.7026	15.4868	10.599	11.9766	7.15761
OSBPL11	3.61052	4.29961	3.05202	7.41145	2.91268	3.74316	4.86945	1.51613	4.32109	0.217021
SLC41A3	8.07115	8.30392	10.5597	3.23927	11.5533	10.2718	8.82853	10.3646	9.29302	10.2763
ALDH1L1	2.80255	5.50138	11.201	9.41568	1.50733	6.03863	8.95757	0.987938	3.11096	0.165487
KLF15	1.1985	12.8584	29.6432	35.5698	10.9707	23.0438	15.1661	0.781801	3.5979	0.107421
ZXDC	2.30957	4.59927	5.37067	8.16793	4.0124	3.45081	3.79126	1.56383	3.663	0.302667
TXNRD3IT1	1.19226	1.47374	0	0	12.1794	2.57676	0.25745	0.976441	1.96956	0.0943566
TXNRD3	2.32784	4.06156	6.94754	1.54875	11.9303	7.0305	4.84678	1.63712	3.3947	0.275812
CHCHD6	4.05552	3.91323	4.84338	2.49398	13.5717	5.28865	4.90716	3.70892	4.20361	4.02852
PLXNA1	4.44511	2.5352	3.26589	2.42081	1.24853	2.47719	1.63723	3.02401	3.24524	0.522591
TPRA1	5.82226	5.48029	13.6911	32.0505	13.529	15.3175	8.25511	5.88367	7.14173	10.0216
MCM2	2.55839	1.9341	3.59522	0	5.90384	2.62538	2.63497	1.59246	3.19465	1.88859
PODXL2	10.0748	10.1254	25.6255	7.54796	10.4708	15.3888	17.0085	22.6698	19.1356	16.2764
ABTB1	5.01259	6.05828	6.59247	1.53343	10.0383	6.67298	8.83499	3.95727	3.09689	0.463073
MGLL	3.82152	1.86532	1.57445	2.92751	1.01005	2.50239	6.7742	1.43789	3.37676	0.468154
SEC61A1	123.33	94.4744	127.008	155.716	87.0079	157.157	98.6432	111.688	100.812	135.943
RUVBL1	12.5671	4.89777	5.62546	4.78389	1.12797	4.15075	5.2428	18.4879	6.09261	15.5509
EEFSEC	4.65375	4.47092	9.83159	11.059	0	5.21276	8.54951	4.53247	3.9352	4.44822
RPN1	156.424	72.4493	92.1585	166.657	77.262	136.517	98.4254	120.645	102.513	162.569
